Terms,co-occurrence_counts
all—mak - .,1
all—mak - open,1
sure - train,1
"sure - ,",33
sure - and—at,1
sure - heart,1
sure - all—mak,1
sure - neighbor,1
sure - nourish,1
sure - .,25
sure - open,1
sure - hand,2
"neighbor - ,",2
neighbor - and—at,1
neighbor - heart,1
neighbor - all—mak,1
neighbor - sure,1
neighbor - nourish,1
neighbor - .,3
neighbor - open,1
neighbor - hand,1
neighbor - atlanta,1
nourish - and—at,1
nourish - heart,1
nourish - all—mak,1
nourish - sure,1
nourish - neighbor,1
nourish - open,1
nourish - hand,1
nourish - atlanta,1
. - heart,1
. - all—mak,1
. - sure,25
. - neighbor,3
. - open,16
. - hand,10
open - all—mak,1
open - sure,1
open - neighbor,1
open - nourish,1
open - .,16
open - hand,2
open - atlanta,2
"open - ,",20
open - exampl,1
hand - sure,2
hand - neighbor,1
hand - nourish,1
hand - .,10
hand - open,2
hand - atlanta,2
"hand - ,",15
hand - exampl,1
hand - deliv,1
atlanta - neighbor,1
atlanta - nourish,1
atlanta - open,2
atlanta - hand,2
"atlanta - ,",13
atlanta - exampl,1
atlanta - deliv,2
atlanta - meal,2
", - open",20
", - hand",15
", - atlanta",13
", - deliv",12
", - meal",8
exampl - open,1
exampl - hand,1
exampl - atlanta,1
exampl - deliv,1
exampl - meal,1
exampl - free,1
exampl - charg,1
", - charg",2
", - folk",6
deliv - hand,1
deliv - atlanta,2
"deliv - ,",12
deliv - exampl,1
deliv - meal,1
deliv - free,1
deliv - charg,1
deliv - folk,1
meal - atlanta,2
"meal - ,",8
meal - exampl,1
meal - deliv,1
meal - free,2
meal - charg,1
meal - folk,1
meal - around,1
free - exampl,1
free - deliv,1
free - meal,2
free - charg,1
free - folk,1
free - around,1
free - state,1
charg - exampl,1
"charg - ,",2
charg - deliv,1
charg - meal,1
charg - free,1
charg - folk,1
charg - atlanta,1
charg - around,1
charg - state,1
charg - goal,1
"folk - ,",6
folk - deliv,1
folk - meal,1
folk - free,1
folk - charg,1
folk - atlanta,1
folk - around,1
folk - state,1
folk - goal,1
folk - elimin,1
atlanta - charg,1
atlanta - folk,1
atlanta - around,2
atlanta - state,1
atlanta - goal,1
atlanta - elimin,1
atlanta - diet-rel,1
around - meal,1
around - free,1
around - charg,1
